Angulo,Calado,Rotacao,Vw,Spin ratio,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor
90,15.0,180,16.59,2.84,201.23,174.99,159.98,219.04,84.65,78.70,128.85,78.97,755.24,371.17,23.92,779.16,6134.19,6077.57,6335.58,6157.08,24704.42,115626.8,114559.5,119422.9,116058.2,620.9,201.23,174.99,159.98,219.04,6.96,6.06,5.54,7.58,84.65,78.70,128.85,78.97,2.93,2.72,4.46,2.73
120,6.9,100,5.72,4.58,,,,,,,,,0.00,0.00,,0.00,2123.32,2108.16,2217.84,2114.53,8563.85,22235.4,22076.6,23225.2,22143.3,119.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,6.9,100,11.43,2.29,,,,,,,,,0.00,0.00,-7.22,-7.22,2109.28,2111.23,2255.18,2112.17,8587.86,22088.3,22108.7,23616.2,22118.6,119.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,6.9,180,17.15,2.75,,,,,,,,,0.00,0.00,-24.52,-24.52,6949.96,6074.15,6596.97,6157.31,25778.39,131003.7,114495.0,124350.0,116062.6,647.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-5.29,-5.29,2136.2,2124.82,2241.63,2172.48,8675.13,22370.2,22251.1,23474.3,22750.2,121.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-20.37,-20.37,2050.97,2060.83,2310.56,2036.46,8458.82,21477.7,21581.0,24196.1,21325.8,118.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
120,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-46.54,-46.54,6024.59,6003.57,6687.73,6030.46,24746.35,113560.8,113164.6,126060.7,113671.5,621.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
150,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-32.37,-32.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-67.26,-67.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-122.62,-122.62,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-12.37,-12.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-47.26,-47.26,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
150,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-102.93,-102.93,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-19.06,-19.06,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-74.94,-74.94,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-170.04,-170.04,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-13.63,-13.63,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-52.85,-52.85,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
180,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-131.12,-131.12,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,100,5.53,4.73,,,,,,,,,0.00,0.00,-4.37,-4.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,100,11.06,2.37,,,,,,,,,0.00,0.00,-55.77,-55.77,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,6.9,180,16.59,2.84,,,,,,,,,0.00,0.00,-124.67,-124.67,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-6.37,-6.37,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-50.17,-50.17,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
210,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-113.99,-113.99,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,
240,6.9,100,5.72,4.58,,,,,,,,,0.00,0.00,-2.51,-2.51,2183.32,2123.46,2188.23,2045.41,8540.42,25404.1,24707.6,25461.2,23799.4,132.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,6.9,100,11.43,2.29,,,,,,,,,0.00,0.00,-13.65,-13.65,2080.95,2145.95,2119.42,2099.03,8445.35,24213.0,24969.3,24660.6,24423.3,131.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,6.9,180,17.15,2.75,,,,,,,,,0.00,0.00,-24.51,-24.51,6093.94,6219.94,6313.72,6165.68,24793.28,127631.2,130270.1,132234.2,129133.7,692.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,15.0,100,5.53,4.73,,,,,,,,,0.00,0.00,-12.79,-12.79,2152.52,2161.71,2158.31,2051.11,8523.65,25045.7,25152.6,25113.1,23865.7,132.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,15.0,100,11.06,2.37,,,,,,,,,0.00,0.00,-22.77,-22.77,2063.55,2128.31,2057.74,2065.92,8315.52,24010.5,24764.0,23942.9,24038.1,129.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
240,15.0,180,16.59,2.84,,,,,,,,,0.00,0.00,-51.32,-51.32,6030.00,6271.54,6053.58,6065.59,24420.71,126292.0,131350.8,126785.9,127037.4,682.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
270,6.9,100,5.72,4.58,19.38,21.91,23.73,20.23,-10.54,-12.19,-10.18,-14.89,85.25,-47.80,6.23,91.48,2270.05,2145.58,2212.58,2221.35,8849.56,26413.2,24965.0,25744.5,25846.6,137.3,19.38,21.91,23.73,20.23,5.65,6.39,6.92,5.90,10.54,12.19,10.18,14.89,3.07,3.55,2.97,4.34
270,6.9,100,11.43,2.29,72.56,85.03,91.78,64.33,-33.63,-39.79,-29.66,-41.06,313.70,-144.13,16.78,330.48,2182.92,2119.56,2127.86,2391.31,8821.65,25399.4,24662.2,24758.8,27824.2,136.9,72.56,85.03,91.78,64.33,5.29,6.20,6.69,4.69,33.63,39.79,29.66,41.06,2.45,2.90,2.16,2.99
270,6.9,180,17.15,2.75,165.03,220.77,205.58,145.25,-85.24,-112.29,-79.37,-102.15,736.63,-379.04,50.43,787.06,6685.91,6120.65,6430.07,6958.69,26195.32,140029.4,128190.6,134671.1,145742.5,731.5,165.03,220.77,205.58,145.25,5.35,7.15,6.66,4.71,85.24,112.29,79.37,102.15,2.76,3.64,2.57,3.31
270,15.0,100,5.53,4.73,19.15,20.51,20.93,17.93,-10.38,-12.36,-8.88,-12.04,78.52,-43.66,1.37,79.89,2191.08,2148.21,2158.58,2240.56,8738.43,25494.4,24995.6,25116.2,26070.1,135.6,19.15,20.51,20.93,17.93,5.96,6.39,6.52,5.58,10.38,12.36,8.88,12.04,3.23,3.85,2.77,3.75
