Angulo,Calado,Rotacao,Vw,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,Fx_popa_bom,Fx_popa_bor,Fx_proa_bom,Fx_proa_bor,Fy_popa_bom,Fy_popa_bor,Fy_proa_bom,Fy_proa_bor,fx_rotores,fy_rotores,fx_casco_sup,fx,Lift_popa_bom,Lift_popa_bor,Lift_proa_bom,Lift_proa_bor,Drag_popa_bom,Drag_popa_bor,Drag_proa_bom,Drag_proa_bor,CL_popa_bom,CL_popa_bor,CL_proa_bom,CL_proa_bor,CD_popa_bom,CD_popa_bor,CD_proa_bom,CD_proa_bor,Media LIFT,Media DRAG,Mz_popa_bom,Mz_popa_bor,Mz_proa_bom,Mz_proa_bor,Mz_rotor,c_x,P_popa_bom,P_popa_bor,P_proa_bom,P_proa_bor,Pcons
30,16,180,6,21503,20444,22472,23589,-6585,-15139,-6498,-10215,21.5,20.4,22.5,23.6,-6.6,-15.1,-6.5,-10.2,88.0,-38.4,17.3,105.3,16.5,23.3,16.9,20.6,15.3,10.1,16.2,15.3,4.4,6.2,4.5,5.5,4.1,2.7,4.3,4.1,19.3,14.2,-7122.4,-6905.1,-7220.1,-7131.6,28379.2,5.821,149171.196772853,144620.076215353,151217.420787891,149363.881122273,792.49676653116
30,16,180,10,53510,69020,70760,74190,-5650,-51910,-23710,-53890,53.5,69.0,70.8,74.2,-5.7,-51.9,-23.7,-53.9,267.5,-135.2,47.8,315.3,31.6,79.5,55.9,83.8,43.5,33.8,49.4,37.3,3.0,7.6,5.3,8.0,4.1,3.2,4.7,3.6,62.7,41.0,-6361.4,-6281.1,-6503.4,-5909.8,25055.7,6.369,133232.850043641,131551.050776419,136206.891089039,123774.561761233,699.687138227109
30,16,180,12,76300,100890,121670,122140,-7150,-75410,-28080,-86300,76.3,100.9,121.7,122.1,-7.2,-75.4,-28.1,-86.3,421.0,-196.9,66.2,487.2,44.3,115.8,85.2,135.8,62.5,49.7,91.3,62.6,2.9,7.7,5.6,9.0,4.1,3.3,6.0,4.1,95.3,66.5,-6247.4,-6193.3,-6209.3,-5398.4,24048.4,6.961,130845.239626912,129712.171876518,130047.275092901,113063.825207594,671.558015738567
60,8.5,100,6,24260,26807,18221,27560,4683,-95,4365,-1203,24.3,26.8,18.2,27.6,4.7,-0.1,4.4,-1.2,96.8,7.7,15.6,112.4,18.7,23.3,13.6,24.5,16.2,13.3,12.9,12.7,4.9,6.2,3.6,6.5,4.3,3.5,3.4,3.4,20.0,13.8,-2165,-2065.1,-2237.3,-2123.9,8591.3,6.405,25190.9188704515,24028.5295886233,26032.1675699128,24712.698655405,133.285752912523
60,8.5,100,10,59240,72706,31355,65305,5880,-4177,5934,-6208,59.2,72.7,31.4,65.3,5.9,-4.2,5.9,-6.2,228.6,1.4,37.5,266.1,48.4,65.1,24.2,59.7,34.7,32.7,20.8,27.3,4.6,6.2,2.3,5.7,3.3,3.1,2.0,2.6,49.3,28.9,-2189.5,-2060.4,-2383.4,-2345.3,8978.6,5.443,25475.9893149439,23973.8426053941,27732.1182613552,27288.8046313487,139.294339750723
60,8.5,100,12,75640,95540,50990,81660,6630,-7760,7280,-9800,75.6,95.5,51.0,81.7,6.6,-7.8,7.3,-9.8,303.8,-3.7,54.3,358.1,62.2,86.6,40.5,75.6,43.6,41.0,31.8,32.3,4.1,5.7,2.7,5.0,2.9,2.7,2.1,2.1,66.2,37.2,-2301.8,-2153.4,-2527.9,-2516.8,9499.9,5.024,26782.6591482703,25055.9467416306,29413.4521074431,29284.2977427955,147.381807653519
60,8.5,180,6,24021,28143,20673,26011,2753,175,2606,625,24.0,28.1,20.7,26.0,2.8,0.2,2.6,0.6,98.8,6.2,14.7,113.6,19.4,24.3,16.6,22.2,14.4,14.2,12.6,13.5,5.1,6.4,4.4,5.9,3.8,3.8,3.3,3.6,20.6,13.7,-6878,-6789.5,-6959.2,-6968.1,27594.8,6.538,144052.495142604,142198.955476986,145753.143965747,145939.54512986,770.59218628693
60,8.5,180,10,73490,83540,37010,63230,13890,930,9460,-810,73.5,83.5,37.0,63.2,13.9,0.9,9.5,-0.8,257.3,23.5,30.5,287.8,56.7,71.9,27.3,55.2,48.8,42.6,26.7,30.9,5.4,6.8,2.6,5.3,4.6,4.1,2.5,2.9,52.8,37.2,-6605.1,-6224,-7070.3,-6447.3,26346.7,6.125,138336.890908173,130355.151172952,148080.016924506,135031.935436596,735.738659256304
60,8.5,180,12,102894,118337,63368,92600,20123,517,16673,-2426,102.9,118.3,63.4,92.6,20.1,0.5,16.7,-2.4,377.2,34.9,48.5,425.7,79.0,102.2,46.5,81.4,68.9,59.6,46.1,44.2,5.2,6.8,3.1,5.4,4.6,3.9,3.1,2.9,77.3,54.7,-6694.7,-6125.3,-6983.1,-6241.4,26044.5,6.237,140213.468919917,128287.98320689,146253.704395219,130719.575920769,727.299643257061
60,16,100,6,28398,31331,26442,31908,2821,-2392,3208,-2187,28.4,31.3,26.4,31.9,2.8,-2.4,3.2,-2.2,118.1,1.5,11.8,129.9,23.2,28.3,21.3,28.7,16.6,13.6,16.0,14.1,6.1,7.5,5.6,7.6,4.4,3.6,4.2,3.7,25.4,15.1,-2037.1,-2039.6,-2159,-2173.2,8408.9,7.809,23702.7347949177,23731.8236157842,25121.1057003717,25286.3302028938,130.455992418623
